remates;remates_al_arco;posesion;faltas;tarjetas_amarillas;tarjetas_rojas;posicion_adelantada;tiros_de_esquina;gano;pais
14;4;65;8;0;0;2;4;2;1
8;4;39;17;1;1;3;2;2;1
9;1;67;17;1;0;0;2;1;1
2;1;33;20;3;0;3;1;1;1
16;6;37;12;4;1;4;4;2;1
9;0;43;15;1;0;2;4;1;1
14;0;66;18;2;0;1;10;2;1
4;0;45;18;1;0;2;3;1;1
12;0;44;16;3;0;2;4;2;1
19;0;56;16;4;0;1;0;1;1
10;0;31;12;1;0;2;1;0;1
21;0;58;15;3;0;2;5;2;1
7;0;39;11;2;0;3;2;0;1
12;5;54;16;3;0;3;4;1;1
5;3;59;21;4;0;1;3;2;1
11;6;64;15;3;0;1;9;2;1
19;4;60;18;3;0;4;1;2;2
11;3;52;13;0;0;3;6;0;2
13;5;32;7;4;0;3;4;1;2
16;8;25;9;1;0;1;6;2;2
25;10;71;12;0;0;3;9;2;2
30;0;66;7;0;0;1;7;2;2
11;0;42;14;2;0;1;2;1;2
4;0;27;14;2;0;3;2;0;2
5;0;55;6;0;0;2;7;0;2
6;0;48;4;1;0;0;4;1;2
